VIN;Марка;Модель;ГодВыпуска;Пробег;Цена;Цвет;ТипКузова;КПП;ОбъемДвигателя;Дефекты;Салон;Город;ДатаВыгрузки
C3RXS3XU70H9DMRC2;Hyundai;Santa Fe;2008;335 613;6 281 466;Синий;Кроссовер;МКПП;2,5;"Вмятина на левой передней двери; Скол на лобовом стекле; Замена ремня ГРМ по регламенту; Коррозия на пороге; Не работает стеклоподъёмник задней двери; Царапина на заднем бампере";Allur Auto;Алматы;09.09.2026 06:00:00
MARTWU4116TP6W2GA;Volkswagen;Touareg;2021;124543;6475084;Красный;Внедорожник;МКПП;3,6;Требуется замена тормозных колодок;Актобе Моторс;Актобе;09.09.2026 06:00:00
FRBUCM753M48F7Z3Y;Renault;Duster;2018;110 530;2 971 959;Серебристый;Кроссовер;АКПП;2,0;;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
5Y4JWXN71M2XV8SX1;Mercedes-Benz;GLE 350;2019;144 677;6123165;Красный;Кроссовер;АКПП;3,0;"Люфт рулевой рейки; Не работает стеклоподъёмник задней двери";Мега Авто;Шымкент;09.09.2026 06:00:00
V8NHJE5M9FXZEVWLM;Mercedes-Benz;C 180;2022;92408;11657906;Чёрный;Седан;АКПП;1,6;;Караван Авто;Караганда;09.09.2026 06:00:00
TDDGBDH331HT7KPAW;Kia;Rio;2016;241 515;1 800 000;Синий;Седан;Вариатор;1,4;;Kolesa Trade;Алматы;09.09.2026 06:00:00
LXVVU9GJ0DUJJSKXS;Kia;Sportage;2011;278735;3640737;Зелёный;Кроссовер;АКПП;2,0;"Помутнение фары; Потёртость водительского сиденья";Караван Авто;Караганда;09.09.2026 06:00:00
W3Y0TV6HXDE7N9H1W;Mercedes-Benz;GLE 350;2013;223 667;1800000;Серебристый;Кроссовер;АКПП;3,0;"Коррозия на пороге; Окрашено переднее крыло; Царапина на заднем бампере; Вмятина на левой передней двери; Требуется регулировка развал-схождения";Allur Auto;Алматы;09.09.2026 06:00:00
W7B0YH3W87TRD7L1K;Renault;Logan;2010;218689;5 200 229;Чёрный;Седан;МКПП;1,4;"Помутнение фары; Требуется регулировка развал-схождения; Окрашено переднее крыло; Замена ремня ГРМ по регламенту";Актобе Моторс;Актобе;09.09.2026 06:00:00
JAL377NV4VDFRCM3M;BMW;320i;2012;209047;5 908 198;Коричневый;Седан;АКПП;2,0;"Требуется регулировка развал-схождения; Замена ремня ГРМ по регламенту; Царапина на заднем бампере";Актобе Моторс;Актобе;09.09.2026 06:00:00
8ML8VJMX9DZA8JN19;BMW;X3;2018;85803;1 800 000;Зелёный;Кроссовер;АКПП;3,0;Не работает стеклоподъёмник задней двери;Allur Auto;Алматы;09.09.2026 06:00:00
K1X0GFAW90UGJFM45;Chevrolet;Cobalt;2024;34307;16887613;Чёрный;Седан;МКПП;1,5;Не работает стеклоподъёмник задней двери;Актобе Моторс;Актобе;09.09.2026 06:00:00
692HBS084M7ZZLTFV;Lada;Vesta;2012;245 175;3 260 782;Серый;Седан;МКПП;1,6;"Коррозия на пороге; Вмятина на левой передней двери; Потёртость водительского сиденья";Мега Авто;Шымкент;09.09.2026 06:00:00
08NSKA3B7ZAYA1WGP;Mercedes-Benz;E 200;2016;201784;4 371 566;Зелёный;Седан;АКПП;2,0;"Потёртость водительского сиденья; Люфт рулевой рейки; Вмятина на левой передней двери";Kolesa Trade;Алматы;09.09.2026 06:00:00
C4ZEDE7C33MJ30151;Volkswagen;Polo;2017;107 780;3102406;Серебристый;Седан;МКПП;1,6;"Вмятина на левой передней двери; Люфт рулевой рейки";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
VGNVR0MW5JUCDVJ8G;Lada;Largus;2008;316096;1800000;Зелёный;Универсал;МКПП;1,6;"Требуется регулировка развал-схождения; Замена ремня ГРМ по регламенту; Потёртость водительского сиденья; Помутнение фары";Караван Авто;Караганда;09.09.2026 06:00:00
V31FSL1L1UWU8KEL4;Hyundai;Santa Fe;2024;38 815;15 714 606;Чёрный;Кроссовер;МКПП;2,5;;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
LHLWGBW17NESGWHCZ;Renault;Duster;19999;281821;6176198;Чёрный;Кроссовер;Вариатор;2,0;"Люфт рулевой рейки; Вмятина на левой передней двери; Замена ремня ГРМ по регламенту; Потёртость водительского сиденья";Мега Авто;Шымкент;09.09.2026 06:00:00
V837DFU193NSB1Z78;Kia;K5;2013;240 207;1800000;Красный;Седан;МКПП;2,5;"Люфт рулевой рейки; Требуется регулировка развал-схождения; Окрашено переднее крыло";Allur Auto;Алматы;09.09.2026 06:00:00
EFFF4G0J7YH3Z4DVW;Hyundai;Sonata;2018;143 449;2325350;Серый;Седан;АКПП;2,5;"Требуется замена тормозных колодок; Окрашено переднее крыло";Kolesa Trade;Алматы;09.09.2026 06:00:00
JCCW8HGS41603K3G8;Nissan;X-Trail;2007;325339;1800000;Синий;Кроссовер;Вариатор;2,5;"Требуется регулировка развал-схождения; Потёртость водительского сиденья; Не работает стеклоподъёмник задней двери";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
ALF84YGC5P7UCEUCM;Lada;Largus;2007;256578;1 800 000;Серый;Универсал;АКПП;1,6;"Не работает стеклоподъёмник задней двери; Требуется регулировка развал-схождения; Помутнение фары; Замена ремня ГРМ по регламенту";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
7RL5ECVB7TGEYL1LE;Chevrolet;Nexia;2018;133894;1800000;Чёрный;Седан;АКПП;1,5;"Помутнение фары; Не работает стеклоподъёмник задней двери";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
75TSU8SU7EVSUYXFJ;Hyundai;Accent;2009;338 039;1 800 000;Серебристый;Седан;Вариатор;1,4;"Замена ремня ГРМ по регламенту; Люфт рулевой рейки; Помутнение фары; Не работает стеклоподъёмник задней двери; Требуется регулировка развал-схождения";Allur Auto;Алматы;09.09.2026 06:00:00
RPYY0VP75HZ5SSCX1;BMW;X5;2021;78266;;Коричневый;Кроссовер;АКПП;4,4;"Не работает стеклоподъёмник задней двери; Царапина на заднем бампере";Мега Авто;Шымкент;09.09.2026 06:00:00
YH6EKR2042ATH60T1;Chevrolet;Nexia;2011;320399;;Чёрный;Седан;МКПП;1,5;"Потёртость водительского сиденья; Требуется замена тормозных колодок; Требуется регулировка развал-схождения; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;09.09.2026 06:00:00
0NECRVFR91U60L0ZP;Nissan;Almera;2006;438913;1800000;Чёрный;Седан;МКПП;1,6;"Не работает стеклоподъёмник задней двери; Царапина на заднем бампере; Помутнение фары";Мега Авто;Шымкент;09.09.2026 06:00:00
K8V9U37766K1N9JEU;Toyota;Highlander;2018;159883;13893597;Красный;Кроссовер;Вариатор;3,5;"Царапина на заднем бампере; Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения";Актобе Моторс;Актобе;09.09.2026 06:00:00
WLECWV6Y2JY8ZNL2B;BMW;320i;2005;325 622;1800000;Серебристый;Седан;АКПП;2,0;"Коррозия на пороге; Потёртость водительского сиденья; Требуется замена тормозных колодок; Царапина на заднем бампере; Не работает стеклоподъёмник задней двери";Караван Авто;Караганда;09.09.2026 06:00:00
S8KR6T6T76VLE5ZW4;Nissan;Patrol;2009;308554;5 766 906;Синий;Внедорожник;Вариатор;5,6;"Требуется замена тормозных колодок; Царапина на заднем бампере; Люфт рулевой рейки";Kolesa Trade;Алматы;09.09.2026 06:00:00
JCV7J75A5BTPK4HVS;Hyundai;Sonata;2012;160 093;11 100 708;Коричневый;Седан;Вариатор;2,5;"Требуется регулировка развал-схождения; Окрашено переднее крыло; Коррозия на пороге";Allur Auto;Алматы;09.09.2026 06:00:00
X4HGCAJL8Z5UF0YMH;Lada;Niva Travel;2014;235 778;2219685;Синий;Внедорожник;МКПП;1,7;"Требуется замена тормозных колодок; Скол на лобовом стекле; Потёртость водительского сиденья";Мега Авто;Шымкент;09.09.2026 06:00:00
ZE2C4B6E4423VH2BX;Volkswagen;Passat;2015;235 626;5756935;Зелёный;Седан;МКПП;2,0;"Помутнение фары; Вмятина на левой передней двери";Караван Авто;Караганда;09.09.2026 06:00:00
JKEAL5ZP435PFGJH1;Hyundai;Accent;2009;257 445;2 049 885;Серебристый;Седан;АКПП;1,6;"Царапина на заднем бампере; Коррозия на пороге; Окрашено переднее крыло; Потёртость водительского сиденья; Требуется замена тормозных колодок";Kolesa Trade;Алматы;09.09.2026 06:00:00
1ZBJ78H3XCETXARYG;Kia;Rio;2009;298 155;1800000;Зелёный;Седан;МКПП;1,6;"Не работает стеклоподъёмник задней двери; Люфт рулевой рейки; Замена ремня ГРМ по регламенту; Окрашено переднее крыло";Allur Auto;Алматы;09.09.2026 06:00:00
U764UXSF45S61YB8X;Hyundai;Accent;2016;130 516;1 800 000;Синий;Седан;МКПП;1,6;"Требуется регулировка развал-схождения; Помутнение фары";Актобе Моторс;Актобе;09.09.2026 06:00:00
EWCHBYGL7MLY46R2M;Nissan;Patrol;2011;338 414;1800000;Коричневый;Внедорожник;Вариатор;4,0;"Царапина на заднем бампере; Замена ремня ГРМ по регламенту; Окрашено переднее крыло";Мега Авто;Шымкент;09.09.2026 06:00:00
5VE38JWSXK41E5729;BMW;320i;2022;67455;13355503;Коричневый;Седан;АКПП;2,0;Требуется регулировка развал-схождения;Allur Auto;Алматы;09.09.2026 06:00:00
4GAGTR9R70269KZB7;BMW;X5;2008;336 524;1 800 000;Чёрный;Кроссовер;АКПП;3,0;"Скол на лобовом стекле; Люфт рулевой рейки; Не работает стеклоподъёмник задней двери";Мега Авто;Шымкент;09.09.2026 06:00:00
F50FNDU18ENP7PYWA;Kia;Seltos;2006;166 208;1 800 000;Чёрный;Кроссовер;Вариатор;2,0;"Вмятина на левой передней двери; Потёртость водительского сиденья; Требуется регулировка развал-схождения; Коррозия на пороге";Актобе Моторс;Актобе;09.09.2026 06:00:00
D70GHVFL859K4FR5Z;Volkswagen;Touareg;2021;38701;3 812 067;Коричневый;Внедорожник;МКПП;3,6;Требуется замена тормозных колодок;Мега Авто;Шымкент;09.09.2026 06:00:00
41RS6ZKU9HC3BSPEG;BMW;X3;2021;128660;13 563 653;Белый;Кроссовер;АКПП;2,0;"Потёртость водительского сиденья; Замена ремня ГРМ по регламенту";Актобе Моторс;Актобе;09.09.2026 06:00:00
NZ3VLC8P4YSAAFH8K;Hyundai;Santa Fe;2024;38907;15326744;Чёрный;Кроссовер;Вариатор;2,2;Вмятина на левой передней двери;Мега Авто;Шымкент;09.09.2026 06:00:00
Z5GR1S9VX113XDATN;Kia;K5;2013;223472;3021056;Зелёный;Седан;АКПП;2,5;"Потёртость водительского сиденья; Вмятина на левой передней двери; Помутнение фары";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
UF4F4MVX4FXVW54L5;Chevrolet;Tracker;2019;147 836;1 800 000;Красный;Кроссовер;АКПП;1,2;"Замена ремня ГРМ по регламенту; Коррозия на пороге";Караван Авто;Караганда;09.09.2026 06:00:00
DR1ZMMSX1BZKN8WM8;Nissan;X-Trail;2005;493 676;;Серый;Кроссовер;Вариатор;2,5;"Помутнение фары; Коррозия на пороге; Люфт рулевой рейки; Вмятина на левой передней двери; Требуется замена тормозных колодок; Скол на лобовом стекле; Царапина на заднем бампере; Окрашено переднее крыло";Мега Авто;Шымкент;09.09.2026 06:00:00
YRYLE9H91ZZKSGKTN;Hyundai;Tucson;2018;151 103;1 800 000;Чёрный;Кроссовер;АКПП;2,5;Не работает стеклоподъёмник задней двери;Мега Авто;Шымкент;09.09.2026 06:00:00
3MF0E99B87C10TBZE;Mercedes-Benz;E 200;2021;61 628;;Чёрный;Седан;АКПП;2,0;Коррозия на пороге;Allur Auto;Алматы;09.09.2026 06:00:00
DA5UPLL85J442471A;Renault;Logan;2009;220 013;1 800 000;Красный;Седан;МКПП;1,6;"Царапина на заднем бампере; Замена ремня ГРМ по регламенту; Коррозия на пороге; Требуется замена тормозных колодок; Люфт рулевой рейки";Актобе Моторс;Актобе;09.09.2026 06:00:00
1M010M5C956TRUDKG;Volkswagen;Touareg;2020;117 673;1 800 000;Коричневый;Внедорожник;МКПП;3,0;Царапина на заднем бампере;Актобе Моторс;Актобе;09.09.2026 06:00:00
5EFXKEJU21V694GHP;BMW;530i;2019;121 624;3211326;Коричневый;Седан;АКПП;3,0;"Не работает стеклоподъёмник задней двери; Окрашено переднее крыло; Царапина на заднем бампере";Kolesa Trade;Алматы;09.09.2026 06:00:00
XDD79LD91MEES2HSC;BMW;X3;2009;266727;2 680 569;Красный;Кроссовер;АКПП;2,0;"Скол на лобовом стекле; Люфт рулевой рейки; Помутнение фары; Требуется регулировка развал-схождения";Актобе Моторс;Актобе;09.09.2026 06:00:00
J1KLML5C30S5V5RSW;Kia;Sportage;2007;204295;1800000;Серый;Кроссовер;МКПП;2,0;"Помутнение фары; Требуется регулировка развал-схождения; Окрашено переднее крыло; Скол на лобовом стекле; Коррозия на пороге; Не работает стеклоподъёмник задней двери";Караван Авто;Караганда;09.09.2026 06:00:00
A3ABUVB96MGGKSNTZ;Renault;Arkana;2024;25 961;19 009 671;Красный;Кроссовер;АКПП;1,6;;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
XDRCX2UE8XP826KTJ;Lada;Granta;2019;64 567;12297960;Синий;Седан;АКПП;1,6;;Актобе Моторс;Актобе;09.09.2026 06:00:00
XK5E75WU5Z9EW65CD;Renault;Arkana;2019;101 724;1 800 000;Чёрный;Кроссовер;Вариатор;1,6;;Мега Авто;Шымкент;09.09.2026 06:00:00
FTEBEN5J9YHC6DL42;BMW;320i;2008;197 714;3 261 225;Коричневый;Седан;АКПП;2,0;"Вмятина на левой передней двери; Требуется замена тормозных колодок; Требуется регулировка развал-схождения; Не работает стеклоподъёмник задней двери";Мега Авто;Шымкент;09.09.2026 06:00:00
FEW2733E8XE56ZJMJ;Mercedes-Benz;E 200;2016;153 350;1800000;Белый;Седан;АКПП;2,0;"Помутнение фары; Требуется замена тормозных колодок";Караван Авто;Караганда;09.09.2026 06:00:00
XSYUD9R11SF655F85;BMW;X5;2005;360 493;1800000;Белый;Кроссовер;АКПП;4,4;"Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Царапина на заднем бампере";Kolesa Trade;Алматы;09.09.2026 06:00:00
5CJES0017K5005EJ0;Toyota;Camry;2017;155 071;1800000;Серый;Седан;АКПП;2,0;"Окрашено переднее крыло; Требуется замена тормозных колодок; Скол на лобовом стекле";Allur Auto;Алматы;09.09.2026 06:00:00
WF9LKLYC2FCTP3B8V;Kia;K5;2012;176426;9 834 253;Серый;Седан;Вариатор;2,5;"Потёртость водительского сиденья; Вмятина на левой передней двери; Помутнение фары; Требуется регулировка развал-схождения; Требуется замена тормозных колодок";Актобе Моторс;Актобе;09.09.2026 06:00:00
JAZSXBMT2J3HE7509;Kia;Sportage;2022;59820;6 989 817;Серый;Кроссовер;Вариатор;1,6;Окрашено переднее крыло;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
B2UAD8VR4RNTJGCW5;Hyundai;Tucson;2017;141 366;1 800 000;Серебристый;Кроссовер;АКПП;2,0;Требуется регулировка развал-схождения;Мега Авто;Шымкент;09.09.2026 06:00:00
XN6HT8X16HZZ6MWFJ;Chevrolet;Tracker;2005;362 000;1 800 000;Чёрный;Кроссовер;МКПП;1,2;"Царапина на заднем бампере; Люфт рулевой рейки; Требуется регулировка развал-схождения; Помутнение фары; Требуется замена тормозных колодок";Мега Авто;Шымкент;09.09.2026 06:00:00
1JF9ZDG42EY2XBU58;Chevrolet;Cobalt;2014;194 770;3884269;Коричневый;Седан;АКПП;1,5;"Не работает стеклоподъёмник задней двери; Окрашено переднее крыло; Помутнение фары";Мега Авто;Шымкент;09.09.2026 06:00:00
D2UNH6FP8DYSJPEPP;Mercedes-Benz;GLE 350;2016;229378;6 357 056;Серебристый;Кроссовер;АКПП;3,0;;Мега Авто;Шымкент;09.09.2026 06:00:00
6ERTN4HR3UKEDLWV5;Kia;Sorento;2007;385 156;4886134;Коричневый;Кроссовер;МКПП;3,5;"Скол на лобовом стекле; Вмятина на левой передней двери; Потёртость водительского сиденья; Люфт рулевой рейки";Актобе Моторс;Актобе;09.09.2026 06:00:00
U6SE5GDA6SL387P2D;Toyota;Camry;2006;300 377;3 491 782;Коричневый;Седан;МКПП;2,5;"Вмятина на левой передней двери; Помутнение фары; Замена ремня ГРМ по регламенту; Требуется замена тормозных колодок; Не работает стеклоподъёмник задней двери";Allur Auto;Алматы;09.09.2026 06:00:00
DBKKH0E03GYWXJL48;Lada;Granta;2015;246915;1 800 000;Красный;Седан;МКПП;1,6;;Мега Авто;Шымкент;09.09.2026 06:00:00
YBHTMTCG9ZX49H1NT;Lada;Niva Travel;2015;242 828;2 274 225;Серый;Внедорожник;МКПП;1,7;"Потёртость водительского сиденья; Коррозия на пороге; Помутнение фары";Kolesa Trade;Алматы;09.09.2026 06:00:00
WSDSFF8E9J7LT4PNW;Volkswagen;Tiguan;2009;277 651;3337521;Красный;Кроссовер;АКПП;2,0;"Скол на лобовом стекле; Люфт рулевой рейки; Коррозия на пороге; Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения; Помутнение фары";Мега Авто;Шымкент;09.09.2026 06:00:00
FKZW2JFW8YJF490B0;Hyundai;Santa Fe;2017;149 705;9379960;Красный;Кроссовер;МКПП;2,2;Требуется замена тормозных колодок;Мега Авто;Шымкент;09.09.2026 06:00:00
12ZKVCVF45T7PNUUJ;Mercedes-Benz;S 500;2020;75 477;12246459;Серый;Седан;АКПП;4,7;Царапина на заднем бампере;Караван Авто;Караганда;09.09.2026 06:00:00
KL4E116T9HUYHV4L6;Chevrolet;Onix;2012;196 942;4182423;Синий;Седан;МКПП;1,2;"Замена ремня ГРМ по регламенту; Царапина на заднем бампере; Скол на лобовом стекле";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
8S785BFV52SW07Z4Y;Volkswagen;Polo;2021;69 377;7 203 033;Синий;Седан;АКПП;1,4;Требуется регулировка развал-схождения;Kolesa Trade;Алматы;09.09.2026 06:00:00
F4UCAYJT854AHEKC0;Renault;Duster;2015;234483;4 176 167;Серебристый;Кроссовер;МКПП;2,0;"Потёртость водительского сиденья; Помутнение фары; Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
AF6ZE2P458U;Chevrolet;Tracker;2007;237468;1800000;Белый;Кроссовер;МКПП;1,2;"Потёртость водительского сиденья; Коррозия на пороге; Замена ремня ГРМ по регламенту; Люфт рулевой рейки; Окрашено переднее крыло";Караван Авто;Караганда;09.09.2026 06:00:00
UHJG20Y02N929CCCJ;Lada;Largus;2022;71545;6050596;Зелёный;Универсал;МКПП;1,6;Замена ремня ГРМ по регламенту;Караван Авто;Караганда;09.09.2026 06:00:00
F2C9KH5M5PNJC4F4N;Chevrolet;Tracker;2022;57534;1800000;Синий;Кроссовер;АКПП;1,0;;Мега Авто;Шымкент;09.09.2026 06:00:00
RG8KYESZ6LFY5ATPS;Volkswagen;Tiguan;;267307;1 800 000;Чёрный;Кроссовер;МКПП;1,4;"Люфт рулевой рейки; Скол на лобовом стекле; Требуется замена тормозных колодок; Коррозия на пороге";Караван Авто;Караганда;09.09.2026 06:00:00
KBCS7E63X182SKAG4;Renault;Logan;2007;414 530;4254290;Зелёный;Седан;МКПП;1,4;"Окрашено переднее крыло; Потёртость водительского сиденья; Вмятина на левой передней двери";Allur Auto;Алматы;09.09.2026 06:00:00
296SPZDD687VAG4JT;Renault;Arkana;2015;207568;;Красный;Кроссовер;МКПП;1,6;"Потёртость водительского сиденья; Замена ремня ГРМ по регламенту; Скол на лобовом стекле";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
TL0JUHBY7UETE8690;Kia;Rio;2005;281 179;1800000;Серебристый;Седан;МКПП;1,4;"Требуется замена тормозных колодок; Замена ремня ГРМ по регламенту; Коррозия на пороге";Караван Авто;Караганда;09.09.2026 06:00:00
2FY1X8CE2VRF4GG5L;Mercedes-Benz;E 200;2009;250597;1800000;Белый;Седан;АКПП;2,0;"Требуется замена тормозных колодок; Царапина на заднем бампере; Замена ремня ГРМ по регламенту; Потёртость водительского сиденья; Коррозия на пороге";Караван Авто;Караганда;09.09.2026 06:00:00
CH569J8A2479MMJG1;Lada;Granta;2008;208917;5173754;Красный;Седан;АКПП;1,6;"Замена ремня ГРМ по регламенту; Вмятина на левой передней двери; Коррозия на пороге; Царапина на заднем бампере";Kolesa Trade;Алматы;09.09.2026 06:00:00
2VDS81HS5EA0XJ130;Lada;Largus;2005;458966;4 716 269;Зелёный;Универсал;МКПП;1,6;"Потёртость водительского сиденья; Вмятина на левой передней двери; Помутнение фары; Люфт рулевой рейки";Allur Auto;Алматы;09.09.2026 06:00:00
Y16XNS1R1CX711K8C;Volkswagen;Passat;2023;38 550;6505480;Красный;Седан;Робот;2,0;Замена ремня ГРМ по регламенту;Мега Авто;Шымкент;09.09.2026 06:00:00
GEP9TJZE00VL5WAWG;Nissan;X-Trail;2013;172441;5 789 596;Чёрный;Кроссовер;Вариатор;2,0;"Царапина на заднем бампере; Скол на лобовом стекле";Kolesa Trade;Алматы;09.09.2026 06:00:00
HU0C5P4G6WC5TZF5H;Hyundai;Santa Fe;2005;394857;1 800 000;Красный;Кроссовер;Вариатор;2,5;"Потёртость водительского сиденья; Требуется замена тормозных колодок; Замена ремня ГРМ по регламенту; Люфт рулевой рейки; Царапина на заднем бампере";Караван Авто;Караганда;09.09.2026 06:00:00
BFPR9BN315UAL4YUK;Hyundai;Elantra;2013;234 914;4345692;Чёрный;Седан;АКПП;2,0;"Помутнение фары; Царапина на заднем бампере; Люфт рулевой рейки; Не работает стеклоподъёмник задней двери";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
3H3KKGGG9Z3T187CM;BMW;X3;2022;66 825;5 519 639;Коричневый;Кроссовер;АКПП;3,0;Замена ремня ГРМ по регламенту;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
886LZLJ84DCEDA3JR;Lada;Niva Travel;2023;61 059;5 259 209;Серый;Внедорожник;АКПП;1,7;;Мега Авто;Шымкент;09.09.2026 06:00:00
C4UTJLTA06KCKXDW8;BMW;320i;2011;259723;4270998;Чёрный;Седан;АКПП;2,0;"Требуется замена тормозных колодок; Помутнение фары; Царапина на заднем бампере";Kolesa Trade;Алматы;09.09.2026 06:00:00
DKKWFSH32155W4WDG;Toyota;RAV4;2020;93442;5 775 281;Серый;Кроссовер;МКПП;2,0;Замена ремня ГРМ по регламенту;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
31MW2AWV94X655P97;Nissan;Almera;2008;312505;1800000;Серебристый;Седан;МКПП;1,6;"Не работает стеклоподъёмник задней двери; Потёртость водительского сиденья; Помутнение фары; Требуется замена тормозных колодок";Allur Auto;Алматы;09.09.2026 06:00:00
KSLM3BMY2SULG1C7R;Toyota;RAV4;2011;233 166;1800000;Красный;Кроссовер;МКПП;2,0;"Не работает стеклоподъёмник задней двери; Люфт рулевой рейки";Актобе Моторс;Актобе;09.09.2026 06:00:00
0DR6Y7050GRAYZV0G;BMW;X5;2007;392 683;1 800 000;Серебристый;Кроссовер;АКПП;3,0;"Помутнение фары; Вмятина на левой передней двери; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;09.09.2026 06:00:00
79KD5GYF2MCS55L00;BMW;X5;2019;61703;8 381 113;Красный;Кроссовер;АКПП;4,4;Вмятина на левой передней двери;Мега Авто;Шымкент;09.09.2026 06:00:00
9A63DN081DPUJV58H;Volkswagen;Touareg;2022;78 688;7392511;Серый;Внедорожник;МКПП;3,0;;Kolesa Trade;Алматы;09.09.2026 06:00:00
0TF0LD2W14FGAP7EJ;Mercedes-Benz;C 180;2005;433843;5554418;Зелёный;Седан;АКПП;1,6;"Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Потёртость водительского сиденья; Окрашено переднее крыло; Люфт рулевой рейки";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
4853UP9H74HV8WCR2;Renault;Arkana;2007;280089;3 202 499;Серый;Кроссовер;АКПП;1,3;"Люфт рулевой рейки; Скол на лобовом стекле; Царапина на заднем бампере; Потёртость водительского сиденья";Kolesa Trade;Алматы;09.09.2026 06:00:00
EDRECYE92U8PJ7S73;Lada;Vesta;2015;169 342;7 583 682;Коричневый;Седан;МКПП;1,8;"Люфт рулевой рейки; Вмятина на левой передней двери";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
50EHD9NK1X5HP8F95;BMW;X3;2022;81596;1 800 000;Коричневый;Кроссовер;АКПП;2,0;Люфт рулевой рейки;Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
DJPX71XM3YZT7NSUW;Chevrolet;Nexia;2018;108 117;1998466;Синий;Седан;АКПП;1,5;Люфт рулевой рейки;Kolesa Trade;Алматы;09.09.2026 06:00:00
