VIN;Марка;Модель;ГодВыпуска;Пробег;Цена;Цвет;ТипКузова;КПП;ОбъемДвигателя;Дефекты;Салон;Город;ДатаВыгрузки
7RL5ECVB7TGEYL1LE;Chevrolet;Nexia;2018;134 433;1 693 699;Чёрный;Седан;АКПП;1,5;"Помутнение фары; Не работает стеклоподъёмник задней двери";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
DKKWFSH32155W4WDG;Toyota;RAV4;2020;94640;5 894 530;Серый;Кроссовер;МКПП;2,0;Замена ремня ГРМ по регламенту;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
T0F0XUX445GZJ540A;Toyota;RAV4;2019;101 812;5 300 135;Белый;Кроссовер;Вариатор;2,5;Вмятина на левой передней двери;Kolesa Trade;Алматы;10.09.2026 06:00:00
FRBUCM753M48F7Z3Y;Renault;Duster;2018;111 073;2 874 862;Серебристый;Кроссовер;АКПП;2,0;;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
KXH69M1H4T374N3VT;Renault;Duster;2015;151 995;1 800 000;Синий;Кроссовер;АКПП;2,0;"Коррозия на пороге; Не работает стеклоподъёмник задней двери";Kolesa Trade;Алматы;10.09.2026 06:00:00
WYJJ1N4WXMB53LP2C;Mercedes-Benz;GLE 350;2006;336 902;1 800 000;Синий;Кроссовер;АКПП;3,0;"Потёртость водительского сиденья; Скол на лобовом стекле; Люфт рулевой рейки; Замена ремня ГРМ по регламенту; Окрашено переднее крыло; Царапина на заднем бампере";Актобе Моторс;Актобе;10.09.2026 06:00:00
V837DFU193NSB1Z78;Kia;K5;2013;240 945;1 721 111;Красный;Седан;МКПП;2,5;"Люфт рулевой рейки; Требуется регулировка развал-схождения; Окрашено переднее крыло; Потёртость водительского сиденья";Allur Auto;Алматы;10.09.2026 06:00:00
FKZW2JFW8YJF490B0;Hyundai;Santa Fe;2017;150205;9 555 877;Красный;Кроссовер;МКПП;2,2;Требуется замена тормозных колодок;Мега Авто;Шымкент;10.09.2026 06:00:00
75TSU8SU7EVSUYXFJ;Hyundai;Accent;2009;338607;1 829 258;Серебристый;Седан;Вариатор;1,4;"Замена ремня ГРМ по регламенту; Люфт рулевой рейки; Помутнение фары; Не работает стеклоподъёмник задней двери; Требуется регулировка развал-схождения";Allur Auto;Алматы;10.09.2026 06:00:00
CG2VBGGL8C9L1L4GN;Volkswagen;Polo;2019;149 438;1 800 000;Серый;Седан;Робот;1,6;;Актобе Моторс;Актобе;10.09.2026 06:00:00
SL5PVJHB6J6210LA3;Volkswagen;Polo;2006;334345;1 800 000;Чёрный;Седан;АКПП;1,4;"Требуется регулировка развал-схождения; Потёртость водительского сиденья; Помутнение фары; Скол на лобовом стекле; Замена ремня ГРМ по регламенту";Allur Auto;Алматы;10.09.2026 06:00:00
886LZLJ84DCEDA3JR;Lada;Niva Travel;2023;61707;5055084;Серый;Внедорожник;АКПП;1,7;;Мега Авто;Шымкент;10.09.2026 06:00:00
31MW2AWV94X655P97;Nissan;Almera;2008;313 659;1764489;Серебристый;Седан;МКПП;1,6;"Не работает стеклоподъёмник задней двери; Потёртость водительского сиденья; Помутнение фары; Требуется замена тормозных колодок";Allur Auto;Алматы;10.09.2026 06:00:00
61GV6YRV1VRHJK4HZ;Nissan;Qashqai;2012;280 693;2188066;Зелёный;Кроссовер;Вариатор;2,0;"Требуется регулировка развал-схождения; Окрашено переднее крыло; Замена ремня ГРМ по регламенту; Не работает стеклоподъёмник задней двери; Потёртость водительского сиденья";Kolesa Trade;Алматы;10.09.2026 06:00:00
J1KLML5C30S5V5RSW;Kia;Sportage;2007;206 553;1767208;Серый;Кроссовер;МКПП;2,0;"Помутнение фары; Требуется регулировка развал-схождения; Окрашено переднее крыло; Скол на лобовом стекле; Коррозия на пороге; Не работает стеклоподъёмник задней двери";Караван Авто;Караганда;10.09.2026 06:00:00
RZDMBCM25Z75XC16G;Toyota;Corolla;2018;155 521;2 219 778;Серый;Седан;АКПП;1,8;"Люфт рулевой рейки; Потёртость водительского сиденья";Мега Авто;Шымкент;10.09.2026 06:00:00
TDDGBDH331HT7KPAW;Kia;Rio;2016;242261;1 736 248;Синий;Седан;Вариатор;1,4;Царапина на заднем бампере;Kolesa Trade;Алматы;10.09.2026 06:00:00
K8V9U37766K1N9JEU;Toyota;Highlander;2018;160107;13 074 356;Красный;Кроссовер;Вариатор;3,5;"Царапина на заднем бампере; Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения; Требуется замена тормозных колодок";Актобе Моторс;Актобе;10.09.2026 06:00:00
3AN5R2P877K3JK2D6;Lada;Niva Travel;2024;23 208;8 859 984;Красный;Внедорожник;АКПП;1,7;;Актобе Моторс;Актобе;10.09.2026 06:00:00
U0ML240018N2KE1BF;Renault;Duster;2007;321 588;1 800 000;Зелёный;Кроссовер;МКПП;1,6;"Скол на лобовом стекле; Люфт рулевой рейки; Помутнение фары; Коррозия на пороге; Требуется замена тормозных колодок";Allur Auto;Алматы;10.09.2026 06:00:00
5EFXKEJU21V694GHP;BMW;530i;2019;123 864;3 093 740;Коричневый;Седан;АКПП;3,0;"Не работает стеклоподъёмник задней двери; Окрашено переднее крыло; Царапина на заднем бампере";Kolesa Trade;Алматы;10.09.2026 06:00:00
C3RXS3XU70H9DMRC2;Hyundai;Santa Fe;2008;336201;5 912 116;Синий;Кроссовер;МКПП;2,5;"Вмятина на левой передней двери; Скол на лобовом стекле; Замена ремня ГРМ по регламенту; Коррозия на пороге; Не работает стеклоподъёмник задней двери; Царапина на заднем бампере";Allur Auto;Алматы;10.09.2026 06:00:00
KSLM3BMY2SULG1C7R;Toyota;RAV4;2011;234260;1801703;Красный;Кроссовер;МКПП;2,0;"Не работает стеклоподъёмник задней двери; Люфт рулевой рейки";Актобе Моторс;Актобе;10.09.2026 06:00:00
WLECWV6Y2JY8ZNL2B;BMW;320i;2005;327238;1743311;Серебристый;Седан;АКПП;2,0;"Коррозия на пороге; Потёртость водительского сиденья; Требуется замена тормозных колодок; Царапина на заднем бампере; Не работает стеклоподъёмник задней двери; Замена ремня ГРМ по регламенту";Караван Авто;Караганда;10.09.2026 06:00:00
X4HGCAJL8Z5UF0YMH;Lada;Niva Travel;2014;237629;2145277;Синий;Внедорожник;МКПП;1,7;"Требуется замена тормозных колодок; Скол на лобовом стекле; Потёртость водительского сиденья";Мега Авто;Шымкент;10.09.2026 06:00:00
W1645EWK1FJMS2JX8;Nissan;X-Trail;2021;62031;1800000;Синий;Кроссовер;Вариатор;2,5;"Окрашено переднее крыло; Скол на лобовом стекле";Актобе Моторс;Актобе;10.09.2026 06:00:00
XN6HT8X16HZZ6MWFJ;Chevrolet;Tracker;2005;363084;1 716 460;Чёрный;Кроссовер;МКПП;1,2;"Царапина на заднем бампере; Люфт рулевой рейки; Требуется регулировка развал-схождения; Помутнение фары; Требуется замена тормозных колодок";Мега Авто;Шымкент;10.09.2026 06:00:00
MAHHHZLB10TK2HJWZ;Toyota;Camry;2014;206 028;1800000;Красный;Седан;Вариатор;3,5;Потёртость водительского сиденья;Мега Авто;Шымкент;10.09.2026 06:00:00
6THFLWCP6KFSZ29DW;Mercedes-Benz;S 500;2018;116015;5870352;Белый;Седан;АКПП;4,7;"Вмятина на левой передней двери; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;10.09.2026 06:00:00
ZE2C4B6E4423VH2BX;Volkswagen;Passat;2015;237032;5 717 031;Зелёный;Седан;МКПП;2,0;"Помутнение фары; Вмятина на левой передней двери";Караван Авто;Караганда;10.09.2026 06:00:00
F50FNDU18ENP7PYWA;Kia;Seltos;2006;167 298;1 785 039;Чёрный;Кроссовер;Вариатор;2,0;"Вмятина на левой передней двери; Потёртость водительского сиденья; Требуется регулировка развал-схождения; Коррозия на пороге";Актобе Моторс;Актобе;10.09.2026 06:00:00
B2UAD8VR4RNTJGCW5;Hyundai;Tucson;2017;143239;1 749 161;Серебристый;Кроссовер;АКПП;2,0;"Требуется регулировка развал-схождения; Скол на лобовом стекле";Мега Авто;Шымкент;10.09.2026 06:00:00
M9Z32JKH81ZFU4EGX;Kia;Rio;2012;252 318;1 800 000;Серебристый;Седан;Вариатор;1,4;"Царапина на заднем бампере; Помутнение фары; Потёртость водительского сиденья";Караван Авто;Караганда;10.09.2026 06:00:00
F4UCAYJT854AHEKC0;Renault;Duster;2015;236866;4 009 685;Серебристый;Кроссовер;МКПП;2,0;"Потёртость водительского сиденья; Помутнение фары; Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
BB9SFP9J54LHD0T2E;Chevrolet;Onix;2020;100437;9914539;Серый;Седан;МКПП;1,5;;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
79KD5GYF2MCS55L00;BMW;X5;2019;63085;8 229 862;Красный;Кроссовер;АКПП;4,4;Вмятина на левой передней двери;Мега Авто;Шымкент;10.09.2026 06:00:00
FTZ3V6DR2M4LWWTSL;Chevrolet;Onix;2010;236719;3969537;Серый;Седан;АКПП;1,2;"Скол на лобовом стекле; Требуется регулировка развал-схождения";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
JAZSXBMT2J3HE7509;Kia;Sportage;2022;61 132;6837718;Серый;Кроссовер;Вариатор;1,6;"Окрашено переднее крыло; Требуется регулировка развал-схождения";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
M41WJ7XR65M8XBGV2;BMW;530i;2016;253 081;5 683 505;Коричневый;Седан;АКПП;3,0;"Замена ремня ГРМ по регламенту; Помутнение фары; Требуется регулировка развал-схождения";Актобе Моторс;Актобе;10.09.2026 06:00:00
48CBFVWG9ME1K3X4Z;Lada;Niva Travel;2021;89 248;9471648;Серый;Внедорожник;АКПП;1,7;"Требуется замена тормозных колодок; Не работает стеклоподъёмник задней двери; Коррозия на пороге";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
FGB54T5S0AU66S4PU;Mercedes-Benz;GLE 350;2019;112 824;7 650 605;Красный;Кроссовер;АКПП;3,0;"Требуется замена тормозных колодок; Коррозия на пороге";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
7HCWL7UB6GM7H0WF1;Renault;Arkana;2020;76193;8027794;Серый;Кроссовер;МКПП;1,3;;Kolesa Trade;Алматы;10.09.2026 06:00:00
TL0JUHBY7UETE8690;Kia;Rio;2005;281 509;1813491;Серебристый;Седан;МКПП;1,4;"Требуется замена тормозных колодок; Замена ремня ГРМ по регламенту; Коррозия на пороге";Караван Авто;Караганда;10.09.2026 06:00:00
WDCM6NSJ8LFAVX4YT;Kia;Sorento;2014;211 794;1800000;Серебристый;Кроссовер;АКПП;2,2;"Коррозия на пороге; Люфт рулевой рейки";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
50EHD9NK1X5HP8F95;BMW;X3;2022;81 812;1 732 011;Коричневый;Кроссовер;АКПП;2,0;Люфт рулевой рейки;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
BFPR9BN315UAL4YUK;Hyundai;Elantra;2013;236848;4 179 553;Чёрный;Седан;АКПП;2,0;"Помутнение фары; Царапина на заднем бампере; Люфт рулевой рейки; Не работает стеклоподъёмник задней двери";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
KBCS7E63X182SKAG4;Renault;Logan;2007;416971;4 215 091;Зелёный;Седан;МКПП;1,4;"Окрашено переднее крыло; Потёртость водительского сиденья; Вмятина на левой передней двери";Allur Auto;Алматы;10.09.2026 06:00:00
UVC6RLG5X66FXGUK8;Mercedes-Benz;E 200;2005;520831;1800000;Белый;Седан;АКПП;2,0;"Царапина на заднем бампере; Люфт рулевой рейки; Потёртость водительского сиденья";Мега Авто;Шымкент;10.09.2026 06:00:00
GEP9TJZE00VL5WAWG;Nissan;X-Trail;2013;174 727;5 528 014;Чёрный;Кроссовер;Вариатор;2,0;"Царапина на заднем бампере; Скол на лобовом стекле";Kolesa Trade;Алматы;10.09.2026 06:00:00
8S785BFV52SW07Z4Y;Volkswagen;Polo;2021;70395;6993112;Синий;Седан;АКПП;1,4;"Требуется регулировка развал-схождения; Скол на лобовом стекле";Kolesa Trade;Алматы;10.09.2026 06:00:00
DBKKH0E03GYWXJL48;Lada;Granta;2015;248818;1 781 031;Красный;Седан;МКПП;1,6;;Мега Авто;Шымкент;10.09.2026 06:00:00
UHJG20Y02N929CCCJ;Lada;Largus;2022;72458;5 951 861;Зелёный;Универсал;МКПП;1,6;Замена ремня ГРМ по регламенту;Караван Авто;Караганда;10.09.2026 06:00:00
XSYUD9R11SF655F85;BMW;X5;2005;361 337;1823198;Белый;Кроссовер;АКПП;4,4;"Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Царапина на заднем бампере; Не работает стеклоподъёмник задней двери";Kolesa Trade;Алматы;10.09.2026 06:00:00
V31FSL1L1UWU8KEL4;Hyundai;Santa Fe;2024;40493;15 514 997;Чёрный;Кроссовер;МКПП;2,5;Замена ремня ГРМ по регламенту;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
ALF84YGC5P7UCEUCM;Lada;Largus;2007;258 378;1700167;Серый;Универсал;АКПП;1,6;"Не работает стеклоподъёмник задней двери; Требуется регулировка развал-схождения; Помутнение фары; Замена ремня ГРМ по регламенту";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
MR3RPMGX1YY98XV93;Toyota;Corolla;2014;198 611;10 771 199;Коричневый;Седан;АКПП;1,6;;Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
DR1ZMMSX1BZKN8WM8;Nissan;X-Trail;2005;494131;;Серый;Кроссовер;Вариатор;2,5;"Помутнение фары; Коррозия на пороге; Люфт рулевой рейки; Вмятина на левой передней двери; Требуется замена тормозных колодок; Скол на лобовом стекле; Царапина на заднем бампере; Окрашено переднее крыло";Мега Авто;Шымкент;10.09.2026 06:00:00
NTZH6VEGX5ATN02U4;Lada;Granta;2012;286499;2293736;Коричневый;Седан;МКПП;1,6;"Требуется замена тормозных колодок; Окрашено переднее крыло; Не работает стеклоподъёмник задней двери";Актобе Моторс;Актобе;10.09.2026 06:00:00
XZ2J09GX86HU5SKGD;Hyundai;Elantra;2010;214 005;1750038;Коричневый;Седан;АКПП;1,6;"Вмятина на левой передней двери; Коррозия на пороге; Люфт рулевой рейки; Требуется замена тормозных колодок";Мега Авто;Шымкент;10.09.2026 06:00:00
RG8KYESZ6LFY5ATPS;Volkswagen;Tiguan;;267 559;1712388;Чёрный;Кроссовер;МКПП;1,4;"Люфт рулевой рейки; Скол на лобовом стекле; Требуется замена тормозных колодок; Коррозия на пороге";Караван Авто;Караганда;10.09.2026 06:00:00
JW5XU3FN2P380D9LE;Nissan;X-Trail;2006;356629;1788045;Серебристый;Кроссовер;МКПП;2,0;"Потёртость водительского сиденья; Требуется регулировка развал-схождения; Окрашено переднее крыло; Замена ремня ГРМ по регламенту; Царапина на заднем бампере";Allur Auto;Алматы;10.09.2026 06:00:00
9A63DN081DPUJV58H;Volkswagen;Touareg;2022;80867;7194318;Серый;Внедорожник;МКПП;3,0;;Kolesa Trade;Алматы;10.09.2026 06:00:00
XDRCX2UE8XP826KTJ;Lada;Granta;2019;65208;12 397 919;Синий;Седан;АКПП;1,6;;Актобе Моторс;Актобе;10.09.2026 06:00:00
BUBMUWYZXMK2EKBFP;Hyundai;Sonata;2022;54 321;11 428 355;Серебристый;Седан;МКПП;2,5;Помутнение фары;Караван Авто;Караганда;10.09.2026 06:00:00
1M010M5C956TRUDKG;Volkswagen;Touareg;2020;118301;1 749 124;Коричневый;Внедорожник;МКПП;3,0;Царапина на заднем бампере;Актобе Моторс;Актобе;10.09.2026 06:00:00
XDD79LD91MEES2HSC;BMW;X3;2009;267534;2 649 015;Красный;Кроссовер;АКПП;2,0;"Скол на лобовом стекле; Люфт рулевой рейки; Помутнение фары; Требуется регулировка развал-схождения";Актобе Моторс;Актобе;10.09.2026 06:00:00
W7B0YH3W87TRD7L1K;Renault;Logan;2010;220797;5 075 688;Чёрный;Седан;МКПП;1,4;"Помутнение фары; Требуется регулировка развал-схождения; Окрашено переднее крыло; Замена ремня ГРМ по регламенту";Актобе Моторс;Актобе;10.09.2026 06:00:00
LHLWGBW17NESGWHCZ;Renault;Duster;19999;283252;5967530;Чёрный;Кроссовер;Вариатор;2,0;"Люфт рулевой рейки; Вмятина на левой передней двери; Замена ремня ГРМ по регламенту; Потёртость водительского сиденья; Скол на лобовом стекле";Мега Авто;Шымкент;10.09.2026 06:00:00
K8VNTDZV32RZSNLCA;Nissan;X-Trail;2006;401732;3 480 555;Зелёный;Кроссовер;МКПП;2,5;"Люфт рулевой рейки; Требуется замена тормозных колодок; Окрашено переднее крыло; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;10.09.2026 06:00:00
SD2XJB8V3321CNYR7;Hyundai;Accent;2007;333905;1 828 765;Синий;Седан;АКПП;1,4;"Коррозия на пороге; Потёртость водительского сиденья; Окрашено переднее крыло; Люфт рулевой рейки; Вмятина на левой передней двери";Allur Auto;Алматы;10.09.2026 06:00:00
4GAGTR9R70269KZB7;BMW;X5;2008;338 442;1 788 980;Чёрный;Кроссовер;АКПП;3,0;"Скол на лобовом стекле; Люфт рулевой рейки; Не работает стеклоподъёмник задней двери; Потёртость водительского сиденья";Мега Авто;Шымкент;10.09.2026 06:00:00
AAJKX8UP6G8M2D31T;Toyota;RAV4;2014;275588;4562999;Белый;Кроссовер;МКПП;2,0;"Помутнение фары; Замена ремня ГРМ по регламенту";Allur Auto;Алматы;10.09.2026 06:00:00
DA5UPLL85J442471A;Renault;Logan;2009;222 389;1704670;Красный;Седан;МКПП;1,6;"Царапина на заднем бампере; Замена ремня ГРМ по регламенту; Коррозия на пороге; Требуется замена тормозных колодок; Люфт рулевой рейки; Помутнение фары";Актобе Моторс;Актобе;10.09.2026 06:00:00
YBHTMTCG9ZX49H1NT;Lada;Niva Travel;2015;244 653;2 142 255;Серый;Внедорожник;МКПП;1,7;"Потёртость водительского сиденья; Коррозия на пороге; Помутнение фары";Kolesa Trade;Алматы;10.09.2026 06:00:00
4853UP9H74HV8WCR2;Renault;Arkana;2007;281 403;3 267 891;Серый;Кроссовер;АКПП;1,3;"Люфт рулевой рейки; Скол на лобовом стекле; Царапина на заднем бампере; Потёртость водительского сиденья; Помутнение фары";Kolesa Trade;Алматы;10.09.2026 06:00:00
3J3WVX4U4B82G6VUN;Renault;Logan;2007;277535;1800000;Серый;Седан;АКПП;1,6;"Не работает стеклоподъёмник задней двери; Потёртость водительского сиденья; Коррозия на пороге; Требуется регулировка развал-схождения";Kolesa Trade;Алматы;10.09.2026 06:00:00
U6SE5GDA6SL387P2D;Toyota;Camry;2006;301 465;3 586 778;Коричневый;Седан;МКПП;2,5;"Вмятина на левой передней двери; Помутнение фары; Замена ремня ГРМ по регламенту; Требуется замена тормозных колодок; Не работает стеклоподъёмник задней двери";Allur Auto;Алматы;10.09.2026 06:00:00
C4ZEDE7C33MJ30151;Volkswagen;Polo;2017;108 591;3 079 770;Серебристый;Седан;МКПП;1,6;"Вмятина на левой передней двери; Люфт рулевой рейки";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
XPNPVZJM1XHZ73V4A;Renault;Arkana;2012;231 215;12 116 065;Серебристый;Кроссовер;МКПП;1,3;"Требуется замена тормозных колодок; Требуется регулировка развал-схождения; Не работает стеклоподъёмник задней двери; Помутнение фары";Мега Авто;Шымкент;10.09.2026 06:00:00
VJPD3ETC9N6V1TL96;Toyota;Camry;2008;383006;11539569;Серебристый;Седан;Вариатор;2,5;"Замена ремня ГРМ по регламенту; Коррозия на пороге; Окрашено переднее крыло; Царапина на заднем бампере; Помутнение фары";Мега Авто;Шымкент;10.09.2026 06:00:00
921H0VLH2XSCZHTGB;Kia;Seltos;2014;221 552;7137519;Зелёный;Кроссовер;МКПП;2,0;Коррозия на пороге;Мега Авто;Шымкент;10.09.2026 06:00:00
ZNMXWD4C100MGRC04;Kia;Sorento;2020;141842;1926802;Красный;Кроссовер;АКПП;3,5;Царапина на заднем бампере;Allur Auto;Алматы;10.09.2026 06:00:00
UHM5FM4MXAAYA0B2S;Toyota;Land Cruiser 200;2019;156268;6747363;Белый;Внедорожник;Вариатор;4,6;"Помутнение фары; Скол на лобовом стекле";Kolesa Trade;Алматы;10.09.2026 06:00:00
0NECRVFR91U60L0ZP;Nissan;Almera;2006;439228;1722575;Чёрный;Седан;МКПП;1,6;"Не работает стеклоподъёмник задней двери; Царапина на заднем бампере; Помутнение фары";Мега Авто;Шымкент;10.09.2026 06:00:00
0TF0LD2W14FGAP7EJ;Mercedes-Benz;C 180;2005;435 037;5392796;Зелёный;Седан;АКПП;1,6;"Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Потёртость водительского сиденья; Окрашено переднее крыло; Люфт рулевой рейки";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
VGNVR0MW5JUCDVJ8G;Lada;Largus;2008;316355;1 757 989;Зелёный;Универсал;МКПП;1,6;"Требуется регулировка развал-схождения; Замена ремня ГРМ по регламенту; Потёртость водительского сиденья; Помутнение фары";Караван Авто;Караганда;10.09.2026 06:00:00
WSDSFF8E9J7LT4PNW;Volkswagen;Tiguan;2009;278 124;3162521;Красный;Кроссовер;АКПП;2,0;"Скол на лобовом стекле; Люфт рулевой рейки; Коррозия на пороге; Замена ремня ГРМ по регламенту; Требуется регулировка развал-схождения; Помутнение фары";Мега Авто;Шымкент;10.09.2026 06:00:00
MARTWU4116TP6W2GA;Volkswagen;Touareg;2021;126658;6189596;Красный;Внедорожник;МКПП;3,6;Требуется замена тормозных колодок;Актобе Моторс;Актобе;10.09.2026 06:00:00
412MCG946PLJ2HK9B;Kia;K5;2009;316946;1 800 000;Серый;Седан;МКПП;2,0;"Требуется замена тормозных колодок; Не работает стеклоподъёмник задней двери";Allur Auto;Алматы;10.09.2026 06:00:00
E6CVNCNCXW927TCNV;Nissan;X-Trail;2019;129111;8 185 987;Красный;Кроссовер;АКПП;2,0;"Требуется замена тормозных колодок; Требуется регулировка развал-схождения";Allur Auto;Алматы;10.09.2026 06:00:00
7LSLUJ7S59XX0Y9M7;BMW;X5;2010;265 605;1800000;Зелёный;Кроссовер;АКПП;4,4;"Скол на лобовом стекле; Люфт рулевой рейки; Окрашено переднее крыло";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
YRYLE9H91ZZKSGKTN;Hyundai;Tucson;2018;151 928;1 713 086;Чёрный;Кроссовер;АКПП;2,5;Не работает стеклоподъёмник задней двери;Мега Авто;Шымкент;10.09.2026 06:00:00
